,neuralnet,lr,batch_size,weight_decay,train_epoch_loss,train_epoch_acc,val_epoch_loss,val_epoch_acc,true_negatives,true_positives,false_negatives,false_positives,num_negatives,num_positives
0,ResNet18,0.0001,160,0.005,0.545139369,0.787096774,0.614172626,0.525,1,0.05,0,0.95,20,20
1,ResNet18,0.0001,160,0.005,0.405910878,0.864516129,0.70043577,0.5,1,0,0,1,20,20
2,ResNet18,0.0001,160,0.005,0.334151353,0.883870968,0.530669439,0.625,1,0.25,0,0.75,20,20
3,ResNet18,0.0001,160,0.005,0.266610095,0.890322581,0.260308129,0.875,1,0.75,0,0.25,20,20
4,ResNet18,0.0001,160,0.005,0.2559248,0.890322581,0.151332396,0.95,1,0.9,0,0.1,20,20
5,ResNet18,0.0001,160,0.005,0.214458385,0.948387097,0.114633876,1,1,1,0,0,20,20
6,ResNet18,0.0001,160,0.005,0.156197849,0.980645161,0.085509805,1,1,1,0,0,20,20
7,ResNet18,0.0001,160,0.005,0.127717306,0.980645161,0.061665253,1,1,1,0,0,20,20
8,ResNet18,0.0001,160,0.005,0.101259953,0.967741935,0.052092184,1,1,1,0,0,20,20
9,ResNet18,0.0001,160,0.005,0.099154486,0.974193548,0.046816558,1,1,1,0,0,20,20
