,neuralnet,lr,batch_size,weight_decay,train_epoch_loss,train_epoch_acc,val_epoch_loss,val_epoch_acc,true_negatives,true_positives,false_negatives,false_positives,num_negatives,num_positives
0,ResNet18,0.0001,160,0.005,0.5451393690801436,0.7870967741935484,0.6141726255416871,0.525,1.0,0.05,0.0,0.95,20,20
1,ResNet18,0.0001,160,0.005,0.40591087841218515,0.864516129032258,0.7004357695579528,0.5,1.0,0.0,0.0,1.0,20,20
2,ResNet18,0.0001,160,0.005,0.3341513531823312,0.8838709677419355,0.5306694388389588,0.625,1.0,0.25,0.0,0.75,20,20
3,ResNet18,0.0001,160,0.005,0.26661009509717265,0.8903225806451613,0.2603081285953522,0.875,1.0,0.75,0.0,0.25,20,20
4,ResNet18,0.0001,160,0.005,0.2559248004228838,0.8903225806451613,0.1513323962688446,0.95,1.0,0.9,0.0,0.1,20,20
5,ResNet18,0.0001,160,0.005,0.2144583850137649,0.9483870967741935,0.11463387608528137,1.0,1.0,1.0,0.0,0.0,20,20
6,ResNet18,0.0001,160,0.005,0.15619784944480467,0.9806451612903225,0.08550980538129807,1.0,1.0,1.0,0.0,0.0,20,20
7,ResNet18,0.0001,160,0.005,0.12771730605633028,0.9806451612903225,0.06166525334119797,1.0,1.0,1.0,0.0,0.0,20,20
8,ResNet18,0.0001,160,0.005,0.1012599527114822,0.967741935483871,0.0520921841263771,1.0,1.0,1.0,0.0,0.0,20,20
9,ResNet18,0.0001,160,0.005,0.09915448559388038,0.9741935483870968,0.04681655764579773,1.0,1.0,1.0,0.0,0.0,20,20
